K_BREV_T;SPRAK_2_TEGN
DOD_INFO_RETT_MAN;NB
DOD_INFO_RETT_MAN;NN
DOD_INFO_RETT_MAN;EN
AP_DOD_ENSLIG_AUTO;NB
AP_DOD_ENSLIG_AUTO;NN
AP_DOD_ENSLIG_AUTO;EN
UT_DOD_ENSLIG_AUTO;NB
UT_DOD_ENSLIG_AUTO;NN
UT_DOD_ENSLIG_AUTO;EN
AP_INFO_STID_MAN;NB
AP_INFO_STID_MAN;NN
AP_INFO_STID_MAN;EN
AP_ENDR_INST_MAN;NB
AP_ENDR_INST_MAN;NN
AP_ENDR_INST_MAN;EN
AP_INFO_AO67_AUTO;NB
AP_INFO_AO67_AUTO;NN
AP_INFO_AO67_AUTO;EN
AP_ENDR_OPPTJ_AUTO;NB
AP_ENDR_OPPTJ_AUTO;NN
AP_ENDR_OPPTJ_AUTO;EN
HENT_INFO_MAN;NB
HENT_INFO_MAN;NN
HENT_INFO_MAN;EN
AP_INNV_AO_GJP_AUTO;NB
AP_INNV_AO_GJP_AUTO;NN
AP_INNV_AO_GJP_AUTO;EN
VARSEL_REVURD;NB
VARSEL_REVURD;NN
VARSEL_REVURD;EN
ADHOC_INFO_AUTO;NB
AP_OPPH_ENDR_FT_AUTO;NB
AP_OPPH_ENDR_FT_AUTO;NN
AP_OPPH_ENDR_FT_AUTO;EN
ADHOC_INFO_AUTO;NN
ADHOC_INFO_AUTO;EN
AFP_DOD_ENSLIG_AUTO;NB
AFP_DOD_ENSLIG_AUTO;NN
AP_INNV_AO_UT_AUTO;NB
AP_INNV_AO_UT_AUTO;NN
AP_INNV_AO_UT_AUTO;EN
AP_AVSL_GJRETT_MAN;NB
AP_AVSL_GJRETT_MAN;NN
AP_AVSL_GJRETT_MAN;EN
AP_INNV_AUTO;NB
AP_INNV_AUTO;NN
AP_INNV_AUTO;EN
AP_INNV_AVT_MAN;EN
AP_INNV_AVT_MAN;NN
AP_INNV_AVT_MAN;NB
AP_ENDR_GRAD_MAN;NB
AP_ENDR_GRAD_MAN;NN
AP_ENDR_GRAD_MAN;EN
AP_ENDR_STANS_MAN;NB
AP_ENDR_STANS_MAN;NN
AP_ENDR_STANS_MAN;EN
AP_ENDR_EPS_MAN;NB
AP_ENDR_EPS_MAN;NN
AP_ENDR_EPS_MAN;EN
BP_AVSL_MAN;NB
BP_AVSL_MAN;NN
BP_AVSL_MAN;EN
BP_OPPH_MAN;NB
BP_OPPH_MAN;NN
BP_OPPH_MAN;EN
INFO_ENDR_UT_INNT;NB
AP_ENDR_EPS_AUTO;NB
AP_ENDR_EPS_AUTO;NN
AP_ENDR_EPS_AUTO;EN
AP_ENDR_OPPTJ_MAN;NB
AP_ENDR_OPPTJ_MAN;NN
AP_ENDR_OPPTJ_MAN;EN
