K_BREV_T;K_SAK_T;GYLDIGMAPPING;BREVGYLDIG
PE_IY_03_161;OMSORG;1;1
PE_IY_03_161;UFOREP;1;1
PE_IY_03_162;AFP;1;1
PE_IY_03_162;AFP_PRIVAT;1;1
PE_IY_03_162;ALDER;1;1
PE_IY_03_162;BARNEP;1;1
PE_IY_03_162;FAM_PL;1;1
PE_IY_03_162;GAM_YRK;1;1
PE_IY_03_162;GENRL;1;1
PE_IY_03_162;GJENLEV;1;1
PE_IY_03_162;GRBL;1;1
PE_IY_03_162;KRIGSP;1;1
PE_IY_03_162;OMSORG;1;1
PE_IY_03_162;UFOREP;1;1
PE_IY_03_163;AFP;1;1
PE_IY_03_163;AFP_PRIVAT;1;1
PE_IY_03_163;ALDER;1;1
PE_IY_03_163;BARNEP;1;1
PE_IY_03_163;FAM_PL;1;1
PE_IY_03_163;GAM_YRK;1;1
PE_IY_03_163;GENRL;1;1
PE_IY_03_163;GJENLEV;1;1
PE_IY_03_163;GRBL;1;1
PE_IY_03_163;KRIGSP;1;1
PE_IY_03_163;OMSORG;1;1
PE_IY_03_163;UFOREP;1;1
PE_IY_03_164;AFP;1;1
PE_IY_03_164;AFP_PRIVAT;1;1
PE_IY_03_164;ALDER;1;1
PE_IY_03_164;BARNEP;1;1
PE_IY_03_164;FAM_PL;1;1
PE_IY_03_164;GAM_YRK;1;1
PE_IY_03_164;GENRL;1;1
PE_IY_03_164;GJENLEV;1;1
PE_IY_03_164;GRBL;1;1
PE_IY_03_164;KRIGSP;1;1
PE_IY_03_164;OMSORG;1;1
PE_IY_03_164;UFOREP;1;1
PE_IY_03_165;ALDER;1;1
PE_IY_03_165;BARNEP;1;1
PE_IY_03_165;GJENLEV;1;1
PE_IY_03_166;ALDER;1;1
PE_IY_03_166;BARNEP;1;1
PE_IY_03_166;GJENLEV;1;1
PE_IY_03_167;ALDER;1;1
PE_IY_03_167;BARNEP;1;1
PE_IY_03_167;GJENLEV;1;1
PE_IY_03_168;AFP;1;1
PE_IY_03_168;AFP_PRIVAT;1;1
PE_IY_03_168;ALDER;1;1
PE_IY_03_168;BARNEP;1;1
PE_IY_03_168;FAM_PL;1;1
PE_IY_03_168;GAM_YRK;1;1
PE_IY_03_168;GENRL;1;1
PE_IY_03_168;GJENLEV;1;1
PE_IY_03_168;GRBL;1;1
PE_IY_03_168;KRIGSP;1;1
PE_IY_03_168;OMSORG;1;1
PE_IY_03_168;UFOREP;1;1
PE_IY_03_169;UFOREP;1;1
PE_IY_03_170;UFOREP;1;1
PE_IY_03_171;UFOREP;1;1
PE_IY_03_172;UFOREP;1;1
PE_IY_03_173;UFOREP;1;1
PE_IY_03_174;AFP;1;1
PE_IY_03_174;AFP_PRIVAT;1;1
PE_IY_03_174;ALDER;1;1
PE_IY_03_174;BARNEP;1;1
PE_IY_03_174;FAM_PL;1;1
PE_IY_03_174;GAM_YRK;1;1
PE_IY_03_174;GENRL;1;1
PE_IY_03_174;GJENLEV;1;1
PE_IY_03_174;GRBL;1;1
PE_IY_03_174;KRIGSP;1;1
PE_IY_03_174;OMSORG;1;1
PE_IY_03_174;UFOREP;1;1
PE_IY_03_175;AFP;1;1
PE_IY_03_175;AFP_PRIVAT;1;1
PE_IY_03_175;ALDER;1;1
PE_IY_03_175;BARNEP;1;1
PE_IY_03_175;FAM_PL;1;1
PE_IY_03_175;GAM_YRK;1;1
PE_IY_03_175;GENRL;1;1
PE_IY_03_175;GJENLEV;1;1
PE_IY_03_175;GRBL;1;1
PE_IY_03_175;KRIGSP;1;1
PE_IY_03_175;OMSORG;1;1
PE_IY_03_175;UFOREP;1;1
PE_IY_03_176;AFP;1;1
PE_IY_03_176;AFP_PRIVAT;1;1
PE_IY_03_176;ALDER;1;1
PE_IY_03_176;BARNEP;1;1
PE_IY_03_176;FAM_PL;1;1
PE_IY_03_176;GAM_YRK;1;1
PE_IY_03_176;GENRL;1;1
PE_IY_03_176;GJENLEV;1;1
PE_IY_03_176;GRBL;1;1
PE_IY_03_176;KRIGSP;1;1
PE_IY_03_176;OMSORG;1;1
PE_IY_03_176;UFOREP;1;1
PE_IY_03_177;AFP;1;1
PE_IY_03_177;AFP_PRIVAT;1;1
PE_IY_03_177;ALDER;1;1
PE_IY_03_177;BARNEP;1;1
PE_IY_03_177;FAM_PL;1;1
PE_IY_03_177;GAM_YRK;1;1
PE_IY_03_177;GENRL;1;1
PE_IY_03_177;GJENLEV;1;1
PE_IY_03_177;GRBL;1;1
PE_IY_03_177;KRIGSP;1;1
PE_IY_03_177;OMSORG;1;1
PE_IY_03_177;UFOREP;1;1
PE_IY_03_178;AFP;1;1
PE_IY_03_178;AFP_PRIVAT;1;1
PE_IY_03_178;ALDER;1;1
